Isaiah Thomas,82,79,32.2,22.2,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,2.3
Avery Bradley,76,72,33.4,15.2,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,1.4
Jae Crowder,73,73,31.6,14.2,1.0,4.2,5.1,1.8,1.7,0.5,1.1,2.7,1.6
Evan Turner,81,12,28.0,10.5,0.6,4.3,4.9,4.4,1.0,0.3,2.1,1.7,2.1
Jared Sullinger,81,73,23.6,10.3,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,1.8
Kelly Olynyk,69,8,20.2,10.0,1.0,3.0,4.1,1.5,0.8,0.5,1.1,2.4,1.4
Marcus Smart,61,10,27.3,9.1,1.2,2.9,4.2,3.0,1.5,0.3,1.3,3.0,2.3
Amir Johnson,79,76,22.8,7.3,2.3,4.1,6.4,1.7,0.7,1.1,1.2,2.7,1.5
David Lee,30,4,15.7,7.1,1.4,3.0,4.3,1.8,0.4,0.4,1.3,1.7,1.4
Tyler Zeller,60,3,11.8,6.1,1.0,1.9,3.0,0.5,0.2,0.4,0.8,1.6,0.6
Jonas Jerebko,78,0,15.1,4.4,1.0,2.7,3.7,0.8,0.3,0.3,0.7,1.8,1.2
RJ Hunter,36,0,8.8,2.7,0.1,1.0,1.0,0.4,0.4,0.1,0.3,0.8,1.2
Coty Clarke,3,0,2.0,2.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0
Terry Rozier,39,0,8.0,1.8,0.6,1.0,1.6,0.9,0.2,0.0,0.5,0.6,1.9
Jordan Mickey,16,0,3.6,1.3,0.4,0.4,0.8,0.1,0.0,0.7,0.1,0.3,1.0
James Young,29,0,6.9,1.0,0.1,0.8,0.9,0.3,0.2,0.0,0.2,0.6,1.8
Jimmy Butler,67,67,36.9,20.9,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,2.4
Pau Gasol,72,72,31.8,16.5,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,1.8
Derrick Rose,66,66,31.8,16.4,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,1.8
Nikola Mirotic,66,38,24.9,11.8,0.9,4.6,5.5,1.5,0.9,0.7,1.5,2.3,1.0
Doug McDermott,81,4,23.0,9.4,0.5,2.0,2.4,0.7,0.2,0.1,0.7,1.6,1.1
Taj Gibson,73,55,26.5,8.6,2.8,4.1,6.9,1.5,0.6,1.1,1.1,2.5,1.4
E'Twaun Moore,59,22,21.4,7.5,0.3,1.9,2.3,1.7,0.6,0.3,0.9,1.7,1.9
Mike Dunleavy,31,30,22.7,7.2,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,1.5
Aaron Brooks,69,0,16.1,7.1,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,2.2
Bobby Portis,62,4,17.8,7.0,2.0,3.5,5.4,0.8,0.4,0.4,0.9,1.6,1.0
Justin Holiday,27,4,18.9,6.5,0.3,2.0,2.3,1.7,0.7,0.6,1.0,1.5,1.7
Tony Snell,64,33,20.3,5.3,0.3,2.8,3.1,1.0,0.3,0.3,0.8,1.6,1.2
Joakim Noah,29,2,21.9,4.3,3.0,5.8,8.8,3.8,0.6,1.0,1.8,2.7,2.1
Kirk Hinrich,35,7,15.9,3.8,0.2,1.5,1.7,1.7,0.4,0.0,0.8,1.8,2.2
Cristiano Felicio,31,4,10.4,3.4,1.0,2.3,3.3,0.8,0.2,0.4,0.4,1.0,2.0
Cameron Bairstow,18,2,5.7,1.9,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,1.5
Paul Millsap,81,81,32.7,17.1,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,1.4
Jeff Teague,79,78,28.5,15.7,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,2.2
Al Horford,82,82,32.1,15.2,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,2.5
Kent Bazemore,75,68,27.8,11.6,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,1.2
Dennis Schroder,80,6,20.3,11.0,0.3,2.2,2.6,4.4,0.9,0.1,2.3,1.7,1.9
Kyle Korver,80,80,30.0,9.2,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2.0,1.7
Thabo Sefolosha,75,11,23.4,6.4,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,1.6
Tim Hardaway Jr.,51,1,16.9,6.4,0.1,1.5,1.7,1.0,0.4,0.1,0.5,0.9,2.2
Kris Humphries,21,0,14.0,6.4,1.0,2.4,3.4,0.6,0.5,0.3,0.7,2.1,0.9
Mike Scott,75,0,15.3,6.2,0.7,2.0,2.7,1.0,0.3,0.2,0.6,1.4,1.9
Tiago Splitter,36,2,16.1,5.6,1.3,2.1,3.3,0.8,0.6,0.3,0.7,2.0,1.3
Shelvin Mack,24,0,7.5,3.9,0.1,0.8,0.9,1.6,0.3,0.0,0.6,0.3,2.7
Mike Muscala,60,0,9.4,3.3,0.6,1.3,2.0,0.6,0.2,0.5,0.5,1.2,1.3
Justin Holiday,26,1,10.1,2.4,0.2,0.9,1.0,0.4,0.5,0.2,0.5,0.8,0.8
Lamar Patterson,35,0,11.3,2.4,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,1.7
Edy Tavares,11,0,6.6,2.3,0.6,1.3,1.9,0.3,0.1,0.5,0.5,0.7,0.6
Kirk Hinrich,11,0,6.9,0.5,0.1,1.0,1.1,1.3,0.2,0.1,0.3,0.1,4.7
Brook Lopez,73,73,33.7,20.6,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9,0.8
