Paul Pierce,61,61,34.0,19.4,0.6,4.6,5.2,4.5,1.1,0.4,2.8,2.4,1.6
Kevin Garnett,60,60,31.1,15.8,1.1,7.1,8.2,2.9,0.9,1.0,1.8,2.4,1.6
Ray Allen,46,42,34.0,14.2,0.3,2.8,3.1,2.4,1.1,0.2,1.5,1.8,1.6
Brandon Bass,59,39,31.7,12.5,1.6,4.6,6.2,0.9,0.6,0.9,1.1,2.3,0.8
Rajon Rondo,53,53,36.9,11.9,1.2,3.7,4.8,11.7,1.8,0.1,3.6,1.9,3.2
Avery Bradley,64,28,21.4,7.6,0.5,1.3,1.8,1.4,0.7,0.2,1.2,1.7,1.2
Mickael Pietrus,42,6,21.9,6.9,0.4,2.7,3.1,0.6,0.5,0.2,0.8,1.9,0.8
Chris Wilcox,28,4,17.2,5.4,1.4,3.0,4.4,0.4,0.4,0.3,1.1,2.3,0.4
Jermaine O'Neal,25,24,22.8,5.0,1.5,3.9,5.4,0.4,0.3,1.7,0.8,3.2,0.5
Keyon Dooling,46,2,14.4,4.0,0.1,0.8,0.8,1.1,0.3,0.0,0.7,1.2,1.5
Sean Williams,3,0,14.0,3.7,1.3,2.7,4.0,1.0,1.0,1.0,1.0,1.3,1.0
Marquis Daniels,38,0,12.7,3.2,0.4,1.3,1.7,1.2,0.6,0.2,0.7,0.9,1.7
JaJuan Johnson,36,0,8.3,3.2,0.6,1.1,1.6,0.2,0.1,0.4,0.4,0.7,0.4
Greg Stiemsma,55,3,13.9,2.9,0.9,2.3,3.2,0.5,0.7,1.5,0.6,2.6,0.8
E'Twaun Moore,38,0,8.7,2.9,0.1,0.8,0.9,0.9,0.3,0.1,0.6,0.9,1.6
Ryan Hollins,15,1,10.7,2.8,0.6,1.1,1.7,0.2,0.1,0.3,0.7,1.5,0.3
Sasha Pavlovic,45,7,11.7,2.7,0.1,1.5,1.6,0.4,0.4,0.3,0.4,1.2,0.9
Derrick Rose,39,39,35.3,21.8,0.7,2.7,3.4,7.9,0.9,0.7,3.1,1.3,2.6
Luol Deng,54,54,39.4,15.3,1.4,5.1,6.5,2.9,1.0,0.7,1.8,1.5,1.6
Carlos Boozer,66,66,29.5,15.0,1.7,6.8,8.5,1.9,1.0,0.4,1.7,2.5,1.1
Richard Hamilton,28,28,24.9,11.6,0.7,1.6,2.4,3.0,0.4,0.0,1.8,2.0,1.7
Joakim Noah,64,64,30.4,10.2,3.8,6.0,9.8,2.5,0.6,1.4,1.4,2.5,1.7
C.J. Watson,49,25,23.7,9.7,0.4,1.7,2.1,4.1,0.9,0.2,2.0,2.1,2.1
Kyle Korver,65,7,22.6,8.1,0.4,2.0,2.4,1.7,0.6,0.2,0.8,1.7,2.1
Taj Gibson,63,0,20.4,7.7,2.1,3.1,5.3,0.7,0.4,1.3,1.0,2.1,0.8
John Lucas III,49,2,14.8,7.5,0.4,1.1,1.6,2.2,0.4,0.0,0.9,0.9,2.6
Ronnie Brewer,66,43,24.8,6.9,1.1,2.4,3.5,2.1,1.1,0.3,0.9,1.0,2.3
Mike James,11,0,10.9,4.8,0.2,0.7,0.9,2.6,0.4,0.2,1.3,1.8,2.1
Omer Asik,66,2,14.7,3.1,1.9,3.4,5.3,0.5,0.5,1.0,1.0,1.8,0.5
Jimmy Butler,42,0,8.5,2.6,0.5,0.8,1.3,0.3,0.3,0.1,0.3,0.5,1.0
Brian Scalabrine,28,0,4.4,1.1,0.3,0.5,0.8,0.5,0.2,0.2,0.3,0.3,1.7
Joe Johnson,60,60,35.5,18.8,0.9,2.8,3.7,3.9,0.8,0.2,1.9,1.3,2.0
Josh Smith,66,66,35.3,18.8,2.1,7.5,9.6,3.9,1.4,1.7,2.5,2.6,1.6
Jeff Teague,66,66,33.1,12.6,0.3,2.1,2.4,4.9,1.6,0.6,2.0,2.2,2.4
Al Horford,11,11,31.6,12.4,2.4,4.6,7.0,2.2,0.9,1.3,1.5,1.9,1.5
Marvin Williams,57,37,26.3,10.2,1.3,3.8,5.2,1.2,0.8,0.3,0.7,1.5,1.8
Zaza Pachulia,58,44,28.3,7.8,2.7,5.2,7.9,1.4,0.9,0.5,1.4,3.0,1.0
Willie Green,53,2,17.4,7.6,0.3,1.2,1.5,0.8,0.4,0.1,0.6,1.4,1.2
Kirk Hinrich,48,31,25.8,6.6,0.2,1.9,2.1,2.8,0.8,0.2,1.2,2.1,2.3
Ivan Johnson,56,0,16.7,6.4,1.2,2.9,4.0,0.6,0.8,0.3,1.2,2.1,0.5
Jannero Pargo,50,0,13.4,5.6,0.2,1.3,1.5,1.9,0.4,0.0,1.0,1.3,2.0
Tracy McGrady,52,0,16.1,5.3,0.4,2.5,3.0,2.1,0.3,0.3,1.0,0.7,2.1
Vladimir Radmanovic,49,3,15.4,4.5,0.7,2.2,2.9,1.1,0.4,0.3,0.7,1.3,1.5
Jerry Stackhouse,30,0,9.1,3.6,0.2,0.6,0.8,0.5,0.3,0.1,0.4,0.4,1.1
Jason Collins,30,10,10.3,1.3,0.4,1.2,1.6,0.3,0.1,0.1,0.3,1.1,1.0
Donald Sloan,5,0,4.0,1.2,0.2,0.8,1.0,1.0,0.2,0.0,0.4,0.6,2.5
Erick Dampier,15,0,5.5,0.1,0.7,1.0,1.7,0.3,0.1,0.3,0.2,0.6,1.3
Kyrie Irving,51,51,30.5,18.5,0.9,2.9,3.7,5.4,1.1,0.4,3.1,2.2,1.7
Antawn Jamison,65,65,33.1,17.2,1.9,4.4,6.3,2.0,0.8,0.7,1.4,2.5,1.5
Lester Hudson,13,0,24.2,12.7,0.5,3.0,3.5,2.7,1.1,0.2,2.3,2.0,1.2
Anderson Varejao,25,25,31.4,10.8,4.4,7.1,11.5,1.7,1.4,0.7,1.8,2.5,1.0
Alonzo Gee,63,31,29.0,10.6,1.6,3.5,5.1,1.8,1.3,0.3,1.8,2.4,1.0
Ramon Sessions,41,4,24.5,10.5,0.5,2.6,3.1,5.2,0.7,0.0,2.0,1.5,2.6
