Isaiah Thomas,21,0,26.0,19.0,0.3,1.8,2.1,5.4,0.6,0.0,2.6,2.1,2.1
Jeff Green,33,33,33.1,17.6,0.6,3.6,4.3,1.6,0.8,0.4,1.7,2.0,0.9
Avery Bradley,77,77,31.5,13.9,0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,1.2
Jared Sullinger,58,49,27.0,13.3,2.5,5.1,7.6,2.3,0.8,0.7,1.3,2.6,1.7
Brandon Bass,82,43,23.5,10.6,1.7,3.2,4.9,1.3,0.5,0.4,1.0,1.7,1.3
Kelly Olynyk,64,13,22.3,10.3,1.4,3.3,4.7,1.7,1.0,0.6,1.5,3.3,1.1
Tyler Zeller,82,59,21.1,10.2,1.8,3.9,5.7,1.4,0.2,0.6,0.9,2.5,1.5
Evan Turner,82,57,27.6,9.5,0.5,4.6,5.1,5.5,1.0,0.2,2.4,2.2,2.3
Jae Crowder,57,17,24.2,9.5,1.1,3.6,4.6,1.4,1.0,0.4,0.7,1.9,2.1
Marcus Thornton,39,0,16.4,8.9,0.5,1.4,1.9,0.9,0.5,0.2,0.6,0.9,1.5
Tayshaun Prince,9,0,22.0,8.4,0.7,2.7,3.3,2.0,0.6,0.2,0.4,0.8,4.5
Rajon Rondo,22,22,31.8,8.3,1.1,6.4,7.5,10.8,1.7,0.1,3.4,1.9,3.2
Marcus Smart,67,38,27.0,7.8,0.9,2.4,3.3,3.1,1.5,0.3,1.3,2.6,2.3
Jonas Jerebko,29,0,18.2,7.1,1.6,3.2,4.8,1.0,0.7,0.2,0.6,2.0,1.7
Luigi Datome,18,1,10.7,5.2,0.1,1.3,1.4,0.4,0.1,0.4,0.4,0.8,1.0
Jameer Nelson,6,1,20.2,4.8,0.5,2.3,2.8,5.5,1.2,0.0,1.5,2.2,3.7
Phil Pressey,50,0,12.0,3.5,0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,2.9
James Young,31,0,10.7,3.4,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.7,2.6
Brandan Wright,8,0,10.8,3.3,0.9,1.3,2.1,1.0,0.1,0.6,0.6,0.5,1.6
Dwight Powell,5,0,1.8,1.8,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.2,0.0
Shavlik Randolph,5,0,5.0,1.4,0.8,1.6,2.4,0.2,0.2,0.2,0.2,0.6,1.0
Gerald Wallace,32,0,8.9,1.1,0.5,1.3,1.8,0.3,0.5,0.1,0.6,0.6,0.6
Jimmy Butler,65,65,38.7,20.0,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,2.3
Pau Gasol,78,78,34.4,18.5,2.8,9.0,11.8,2.7,0.3,1.9,2.0,1.9,1.3
Derrick Rose,51,51,30.0,17.7,0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2,1.6
Aaron Brooks,82,21,23.0,11.6,0.4,1.6,2.0,3.2,0.7,0.2,1.9,2.3,1.7
Taj Gibson,62,17,27.3,10.3,2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,0.9
Nikola Mirotic,82,3,20.2,10.2,0.8,4.2,4.9,1.2,0.7,0.7,1.1,2.1,1.1
Mike Dunleavy,63,63,29.2,9.4,0.4,3.5,3.9,1.8,0.6,0.3,1.0,2.0,1.9
Joakim Noah,67,67,30.6,7.2,3.3,6.4,9.6,4.7,0.7,1.1,1.8,3.0,2.5
Tony Snell,72,22,19.6,6.0,0.4,2.0,2.4,0.9,0.4,0.2,0.7,1.2,1.3
Kirk Hinrich,66,22,24.4,5.7,0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,2.0
Doug McDermott,36,0,8.9,3.0,0.2,1.0,1.2,0.2,0.1,0.0,0.5,0.8,0.4
E'Twaun Moore,56,0,9.0,2.7,0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.4
