Jayson Tatum,64,64,35.8,26.4,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,1.6
Jaylen Brown,58,58,34.5,24.7,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,1.2
Kemba Walker,43,43,31.8,19.3,0.4,3.6,4.0,4.9,1.1,0.3,2.0,1.4,2.4
Marcus Smart,48,45,32.9,13.1,0.8,2.7,3.5,5.7,1.5,0.5,2.0,2.6,2.8
Evan Fournier,16,11,29.5,13.0,0.3,3.0,3.3,3.1,1.3,0.6,1.2,2.6,2.6
Daniel Theis,42,39,24.5,9.5,1.3,4.0,5.2,1.6,0.6,1.0,1.0,2.9,1.6
Robert Williams III,52,13,18.9,8.0,2.6,4.3,6.9,1.8,0.8,1.8,1.0,2.0,1.8
Payton Pritchard,66,4,19.2,7.7,0.5,1.9,2.4,1.8,0.6,0.1,0.8,1.6,2.3
Tristan Thompson,54,43,23.8,7.6,3.1,5.0,8.1,1.2,0.4,0.6,1.1,2.2,1.1
Jeff Teague,34,5,18.1,6.9,0.3,1.4,1.7,2.1,0.8,0.2,1.1,1.3,1.9
Jabari Parker,10,0,13.8,6.4,0.9,2.7,3.6,1.0,0.1,0.4,0.7,0.9,1.4
Aaron Nesmith,46,1,14.5,4.7,0.6,2.2,2.8,0.5,0.3,0.2,0.5,1.9,1.0
Grant Williams,63,9,18.1,4.7,0.8,2.1,2.8,1.0,0.5,0.4,0.9,2.6,1.1
Semi Ojeleye,56,15,17.0,4.6,0.6,2.1,2.6,0.7,0.3,0.0,0.4,1.0,1.8
Luke Kornet,18,2,14.1,4.4,0.7,2.2,2.9,1.1,0.1,1.4,0.3,1.1,3.3
Javonte Green,25,2,13.8,4.2,0.8,1.3,2.1,0.4,0.7,0.1,0.5,1.3,0.8
Carsen Edwards,31,1,8.9,4.0,0.1,0.7,0.8,0.5,0.2,0.0,0.2,0.8,2.0
Tremont Waters,26,3,9.2,3.8,0.2,0.6,0.8,2.4,0.6,0.0,1.0,0.7,2.3
Romeo Langford,18,4,15.7,3.1,0.7,1.3,1.9,0.7,0.3,0.3,0.6,1.3,1.3
Tacko Fall,19,0,7.2,2.5,0.8,1.9,2.7,0.2,0.1,1.1,0.3,1.2,0.5
Moritz Wagner,9,4,6.8,1.2,0.3,1.8,2.1,0.7,0.0,0.1,1.0,1.1,0.7
Zach LaVine,58,58,35.1,27.4,0.6,4.4,5.0,4.9,0.8,0.5,3.5,2.4,1.4
Nikola Vucevic,26,28,32.6,21.5,2.3,9.3,11.5,3.9,0.9,0.8,1.7,2.2,2.4
Coby White,69,54,31.2,15.1,0.4,3.7,4.1,4.8,0.6,0.2,2.3,2.6,2.1
Lauri Markkanen,51,26,25.8,13.6,0.7,4.6,5.3,0.9,0.5,0.3,1.0,1.5,0.9
Thaddeus Young,68,23,24.3,12.1,2.5,3.8,6.2,4.3,1.1,0.6,2.0,2.2,2.1
