Jayson Tatum,66,66,34.3,23.4,1.0,6.0,7.0,3.0,1.4,0.9,2.3,2.1,1.3
Kemba Walker,56,56,31.1,20.4,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,2.3
Jaylen Brown,57,57,33.9,20.3,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,0.9
Gordon Hayward,52,52,33.5,17.5,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,2.2
Marcus Smart,60,40,32.0,12.9,0.7,3.1,3.8,4.9,1.7,0.5,1.7,2.7,2.8
Daniel Theis,65,64,24.1,9.2,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,2.1
Enes Freedom,58,7,16.9,8.1,2.8,4.6,7.4,1.0,0.4,0.7,1.0,1.7,1.0
Brad Wanamaker,71,1,19.3,6.9,0.3,1.7,2.0,2.5,0.9,0.2,1.1,1.9,2.4
Robert Williams III,29,1,13.4,5.2,1.4,3.0,4.4,0.9,0.8,1.2,0.7,1.8,1.3
Tremont Waters,11,1,10.8,3.6,0.0,1.1,1.1,1.5,0.9,0.2,1.4,1.2,1.1
Grant Williams,69,5,15.1,3.4,0.9,1.7,2.6,1.0,0.4,0.5,0.7,2.4,1.4
Semi Ojeleye,69,6,14.7,3.4,0.4,1.7,2.1,0.5,0.3,0.1,0.3,1.2,1.9
Javonte Green,48,2,9.8,3.4,0.5,1.4,1.9,0.5,0.5,0.2,0.5,0.9,1.1
Tacko Fall,7,0,4.7,3.3,0.1,2.0,2.1,0.1,0.1,0.6,0.4,1.0,0.3
Carsen Edwards,37,0,9.5,3.3,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,1.6
Romeo Langford,32,2,11.6,2.5,0.5,0.8,1.3,0.4,0.3,0.3,0.3,1.0,1.2
Vincent Poirier,22,0,5.9,1.9,0.6,1.4,2.0,0.4,0.1,0.4,0.4,1.1,1.0
Zach LaVine,60,60,34.8,25.5,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,1.2
Lauri Markkanen,50,50,29.8,14.7,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,0.9
Coby White,65,1,25.8,13.2,0.4,3.1,3.5,2.7,0.8,0.1,1.7,1.8,1.6
Otto Porter Jr.,14,9,23.6,11.9,0.9,2.5,3.4,1.8,1.1,0.4,0.8,2.2,2.3
Wendell Carter Jr.,43,43,29.2,11.3,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,0.7
Thaddeus Young,64,16,24.9,10.3,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,1.1
Tomas Satoransky,65,64,28.9,9.9,1.2,2.7,3.9,5.4,1.2,0.1,2.0,2.1,2.7
Chandler Hutchison,28,10,18.8,7.8,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,1.0
Kris Dunn,51,32,24.9,7.3,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,2.5
Denzel Valentine,36,5,13.6,6.8,0.3,1.8,2.1,1.2,0.7,0.2,0.7,1.4,1.7
Luke Kornet,36,14,15.5,6.0,0.6,1.7,2.3,0.9,0.3,0.7,0.4,1.5,2.3
Daniel Gafford,43,7,14.2,5.1,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,0.7
Shaquille Harrison,43,10,11.3,4.9,0.5,1.5,2.0,1.1,0.8,0.4,0.4,1.3,2.6
