Jeff Green,82,82,34.2,16.9,0.7,4.0,4.6,1.7,0.7,0.6,2.0,2.2,0.8
Avery Bradley,60,58,30.9,14.9,0.8,3.0,3.8,1.4,1.1,0.2,1.6,2.4,0.9
Jordan Crawford,39,35,30.7,13.7,0.5,2.6,3.1,5.7,0.9,0.1,2.2,1.9,2.7
Jared Sullinger,74,44,27.6,13.3,3.3,4.9,8.1,1.6,0.5,0.7,1.6,3.4,1.0
Rajon Rondo,30,30,33.3,11.7,0.7,4.7,5.5,9.8,1.3,0.1,3.3,2.2,3.0
Brandon Bass,82,73,27.6,11.1,2.0,3.8,5.7,1.1,0.4,0.9,1.2,2.3,0.9
Jerryd Bayless,41,14,25.3,10.1,0.3,1.8,2.1,3.1,1.0,0.1,1.5,2.2,2.1
Kelly Olynyk,70,9,20.0,8.7,2.0,3.2,5.2,1.6,0.5,0.4,1.5,3.2,1.0
Kris Humphries,69,30,19.9,8.4,1.8,4.1,5.9,1.0,0.4,0.9,0.9,2.0,1.0
Courtney Lee,30,0,16.8,7.4,0.3,1.4,1.6,1.1,0.7,0.3,0.8,1.2,1.3
Chris Johnson,40,0,19.7,6.3,0.8,1.7,2.4,0.8,0.7,0.1,0.6,1.6,1.4
Gerald Wallace,58,16,24.4,5.1,0.6,3.0,3.7,2.5,1.3,0.2,1.7,1.4,1.5
Vitor Faverani,37,8,13.2,4.4,1.1,2.3,3.5,0.4,0.4,0.7,1.1,2.0,0.4
MarShon Brooks,10,0,7.3,3.1,0.1,1.8,1.9,0.4,0.1,0.1,0.7,0.5,0.6
Phil Pressey,75,11,15.1,2.8,0.3,1.1,1.4,3.2,0.9,0.1,1.2,1.3,2.8
Keith Bogans,6,0,9.2,2.0,0.0,0.5,0.5,0.5,0.2,0.0,0.2,0.3,3.0
Vander Blue,3,0,5.0,1.7,0.0,1.0,1.0,0.3,0.0,0.0,0.7,0.3,0.5
Chris Babb,14,0,9.4,1.6,0.3,0.9,1.2,0.2,0.4,0.0,0.2,0.9,1.0
Joel Anthony,21,0,7.1,1.0,0.6,0.9,1.5,0.1,0.1,0.4,0.1,0.6,1.0
Luol Deng,23,23,37.4,19.0,1.7,5.1,6.9,3.7,1.0,0.2,2.6,2.3,1.4
Derrick Rose,10,10,31.1,15.9,0.9,2.3,3.2,4.3,0.5,0.1,3.4,1.5,1.3
D.J. Augustin,61,9,30.4,14.9,0.2,1.8,2.1,5.0,0.9,0.0,1.9,2.3,2.6
Carlos Boozer,76,76,28.2,13.7,1.8,6.5,8.3,1.6,0.7,0.3,2.0,2.8,0.8
Jimmy Butler,67,67,38.7,13.1,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,1.7
Taj Gibson,82,8,28.7,13.0,2.4,4.4,6.8,1.1,0.5,1.4,1.8,2.5,0.6
Joakim Noah,80,80,35.3,12.6,3.5,7.7,11.3,5.4,1.2,1.5,2.4,3.1,2.2
Mike Dunleavy,82,61,31.5,11.3,0.6,3.6,4.2,2.3,0.8,0.6,1.3,2.0,1.7
Kirk Hinrich,73,61,29.0,9.1,0.4,2.2,2.6,3.9,1.1,0.4,1.6,2.8,2.4
Tony Snell,77,12,16.0,4.5,0.2,1.4,1.6,0.9,0.4,0.2,0.6,1.1,1.5
Jimmer Fredette,8,0,7.0,4.0,0.1,0.8,0.9,0.4,0.0,0.0,0.5,0.9,0.8
Cartier Martin,6,0,8.0,2.5,0.2,0.7,0.8,0.3,0.2,0.0,0.2,0.5,2.0
Marquis Teague,19,2,12.7,2.4,0.1,0.9,1.0,1.5,0.1,0.2,0.9,1.3,1.6
Nazr Mohammed,80,1,7.0,1.6,0.8,1.4,2.2,0.3,0.2,0.4,0.5,1.0,0.5
Mike James,11,0,7.0,1.0,0.0,0.6,0.6,1.5,0.2,0.0,0.5,1.0,3.4
Tornike Shengelia,9,0,1.9,0.4,0.0,0.2,0.2,0.2,0.1,0.0,0.1,0.2,2.0
Erik Jay Murphy,24,0,2.6,0.3,0.1,0.3,0.3,0.1,0.0,0.2,0.1,0.3,1.0
Ronnie Brewer,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lou Amundson,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
