18,16.9,47.1,46.3,75.0,1.2,1.8,0.1,0.3,1.3,0.7,6.6,doug-mcdermott,Spurs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528588.png&w=350&h=254
13,15.2,36.5,37.7,72.7,1.9,1.0,0.7,0.5,0.8,1.0,6.3,julian-champagnie,Spurs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4592479.png&w=350&h=254
19,35.6,49.4,39.5,76.0,8.5,8.6,0.5,1.3,1.8,3.8,31.8,luka-doncic,Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3945274.png&w=350&h=254
16,32.9,46.7,38.4,89.8,4.1,5.4,0.3,1.2,1.9,1.4,23.8,kyrie-irving,Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6442.png&w=350&h=254
18,27.2,41.6,38.0,87.8,3.4,1.6,0.0,0.2,0.9,0.8,16.8,tim-hardaway-jr,Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2528210.png&w=350&h=254
20,23.5,49.7,41.7,73.3,3.7,1.0,0.8,0.6,1.7,1.0,10.0,derrick-jones-jr,Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3936099.png&w=350&h=254
19,28.8,42.2,40.6,64.5,3.7,1.7,0.6,0.3,2.6,0.9,9.8,grant-williams,Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066218.png&w=350&h=254
18,25.1,72.9,0.0,59.3,7.6,1.2,1.6,0.6,3.1,1.1,8.7,dereck-lively-ii,Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683688.png&w=350&h=254
18,25.2,42.2,36.5,52.9,2.9,2.4,0.2,0.9,1.7,0.9,6.9,josh-green,Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432811.png&w=350&h=254
17,11.2,38.8,28.9,66.7,1.8,1.4,0.0,0.3,1.1,0.8,6.3,jaden-hardy,Mavericks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/dal.png&w=250&h=250,https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4868423.png&w=350&h=254
