LeBron James SF#33.9#25.5#../data/LeBron James.png
Anthony Davis PF#35.4#22.1#../data/Anthony Davis.png
D'Angelo Russell PG#31.2#16.9#../data/D'Angelo Russell.png
Austin Reaves SG#30.4#14#../data/Austin Reaves.png
Rui Hachimura PF#23.3#11.8#../data/Rui Hachimura.png
Taurean Prince PF#30.4#8.5#../data/Taurean Prince.png
Cam Reddish SF#23.9#7.4#../data/Cam Reddish.png
Christian Wood F#20.4#7.1#../data/Christian Wood.png
Gabe Vincent PG#28.3#6#../data/Gabe Vincent.png
Max Christie G#16.2#4.2#../data/Max Christie.png
Jaxson Hayes C#11#3.3#../data/Jaxson Hayes.png
Colin Castleton C#9.5#2#../data/Colin Castleton.png
D'Moi Hodge G#5.3#1#../data/D'Moi Hodge.png
Maxwell Lewis F#3.5#0#../data/Maxwell Lewis.png
Stephen Curry PG#33#29.7#../data/Stephen Curry.png
Klay Thompson SG#29#15#../data/Klay Thompson.png
Andrew Wiggins SF#26.7#11.8#../data/Andrew Wiggins.png
Jonathan Kuminga PF#20.4#11.6#../data/Jonathan Kuminga.png
Dario Saric PF#21.7#10.8#../data/Dario Saric.png
Chris Paul PG#28.1#9.3#../data/Chris Paul.png
Draymond Green PF#22.2#8.8#../data/Draymond Green.png
Moses Moody SG#17.9#7.5#../data/Moses Moody.png
Brandin Podziemski G#16.3#6.4#../data/Brandin Podziemski.png
Kevon Looney F#23.7#6.1#../data/Kevon Looney.png
Gary Payton II SG#17.3#5.8#../data/Gary Payton II.png
Trayce Jackson-Davis F#7.8#3#../data/Trayce Jackson-Davis.png
Lester Quinones G#4.5#2.5#../data/Lester Quinones.png
Cory Joseph PG#9#2.1#../data/Cory Joseph.png
